ID	allele_type
YERS_843	core
YERS_844	core
YERS_845	core
YERS_846	core
YERS_847	core
YERS_848	core
YERS_849	core
YERS_850	core
YERS_851	core
YERS_852	core
YERS_853	core
YERS_854	core
YERS_855	core
YERS_856	core
YERS_857	core
YERS_858	core
YERS_859	core
YERS_860	core
YERS_861	core
YERS_862	core
YERS_863	core
YERS_864	core
YERS_865	core
YERS_866	core
YERS_867	core
YERS_868	core
YERS_869	core
YERS_870	core
YERS_871	core
YERS_872	core
YERS_873	core
YERS_874	core
YERS_875	core
YERS_876	core
YERS_877	core
YERS_878	core
YERS_879	core
YERS_880	core
YERS_881	core
YERS_882	core
YERS_883	core
YERS_884	core
YERS_885	core
YERS_886	core
YERS_887	core
YERS_888	core
YERS_889	core
YERS_890	core
YERS_891	core
YERS_892	core
YERS_893	core
YERS_894	core
YERS_895	core
YERS_896	core
YERS_897	core
YERS_898	core
YERS_899	core
YERS_900	core
YERS_901	core
YERS_902	core
YERS_903	core
YERS_904	core
YERS_905	core
YERS_906	core
YERS_907	core
YERS_908	core
YERS_909	core
YERS_910	core
YERS_911	core
YERS_912	core
YERS_913	core
YERS_914	core
YERS_915	core
YERS_916	core
YERS_917	core
YERS_918	core
YERS_919	core
YERS_920	core
YERS_921	core
YERS_922	core
YERS_923	core
YERS_924	core
YERS_925	core
YERS_926	core
YERS_927	core
YERS_928	core
YERS_929	core
YERS_930	core
YERS_931	core
YERS_932	core
YERS_933	core
YERS_934	core
YERS_935	core
YERS_936	core
YERS_937	core
YERS_938	core
YERS_939	core
YERS_940	core
YERS_941	core
YERS_942	core
YERS_943	core
YERS_944	core
YERS_945	core
YERS_946	core
YERS_947	core
YERS_948	core
YERS_949	core
YERS_950	core
YERS_951	core
YERS_952	core
YERS_953	core
YERS_954	core
YERS_955	core
YERS_956	core
YERS_957	core
YERS_958	core
YERS_959	core
YERS_960	core
YERS_961	core
YERS_962	core
YERS_963	core
YERS_964	core
YERS_965	core
YERS_966	core
YERS_967	core
YERS_968	core
YERS_969	core
YERS_970	core
YERS_971	core
YERS_972	core
YERS_973	core
YERS_974	core
YERS_975	core
YERS_976	core
YERS_977	core
YERS_978	core
YERS_979	core
YERS_980	core
YERS_981	core
YERS_982	core
YERS_983	core
YERS_984	core
YERS_985	core
YERS_986	core
YERS_987	core
YERS_988	core
YERS_989	core
YERS_990	core
YERS_991	core
YERS_992	core
YERS_993	core
YERS_994	core
YERS_995	core
YERS_996	core
YERS_997	core
YERS_998	core
YERS_999	core
YERS_1000	core
YERS_1001	core
YERS_1002	core
YERS_1003	core
YERS_1004	core
YERS_1005	core
YERS_1006	core
YERS_1007	core
YERS_1008	core
YERS_1009	core
YERS_1010	core
YERS_1011	core
YERS_1012	core
YERS_1013	core
YERS_1014	core
YERS_1015	core
YERS_1016	core
YERS_1017	core
YERS_1018	core
YERS_1019	core
YERS_1020	core
YERS_1021	core
YERS_1022	core
YERS_1023	core
YERS_1024	core
YERS_1025	core
YERS_1026	core
YERS_1027	core
YERS_1028	core
YERS_1029	core
YERS_1030	core
YERS_1031	core
YERS_1032	core
YERS_1033	core
YERS_1034	core
YERS_1035	core
YERS_1036	core
YERS_1037	core
YERS_1038	core
YERS_1039	core
YERS_1040	core
YERS_1041	core
YERS_1042	core
YERS_1043	core
YERS_1044	core
YERS_1045	core
YERS_1046	core
YERS_1047	core
YERS_1048	core
YERS_1049	core
YERS_1050	core
YERS_1051	core
YERS_1052	core
YERS_1053	core
YERS_1054	core
YERS_1055	core
YERS_1056	core
YERS_1057	core
YERS_1058	core
YERS_1059	core
YERS_1060	core
YERS_1061	core
YERS_1062	core
YERS_1063	core
YERS_1064	core
YERS_1065	core
YERS_1066	core
